timestamp,frame_number,object_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,zone_violation,zone_name,track_length,movement_status
2025-09-27T13:59:37.857411,29,,person,0.876767098903656,59,21,636,479,0,0,False,,0,
2025-09-27T13:59:37.857411,29,,tennis racket,0.7699856758117676,461,57,565,135,0,0,False,,0,
2025-09-27T13:59:38.397491,30,,person,0.918305516242981,65,27,637,478,0,0,False,,0,
2025-09-27T13:59:38.397491,30,,tennis racket,0.569160521030426,462,57,565,136,0,0,False,,0,
2025-09-27T13:59:39.059415,31,,person,0.7258153557777405,22,35,596,479,0,0,False,,0,
2025-09-27T13:59:52.567625,32,,person,0.6501317024230957,195,240,541,479,0,0,False,,0,
2025-09-27T14:00:06.859247,33,,person,0.6551099419593811,177,244,436,479,0,0,False,,0,
2025-09-27T14:00:32.504922,35,,person,0.7003663182258606,180,249,454,479,0,0,False,,0,
2025-09-27T14:00:42.389307,37,,person,0.7566014528274536,182,261,450,479,0,0,False,,0,
2025-09-27T14:01:28.290077,1,,person,0.5521481037139893,181,261,439,479,0,0,False,,0,
2025-09-27T14:01:42.381432,2,,person,0.6170526742935181,172,261,442,479,0,0,False,,0,
2025-09-27T14:02:05.074138,4,,person,0.5219423174858093,177,258,446,479,0,0,False,,0,
2025-09-27T14:02:19.120054,6,,person,0.7882353067398071,148,198,638,479,0,0,False,,0,
2025-09-27T14:02:19.762826,7,,person,0.9275094866752625,149,159,639,479,0,0,False,,0,
2025-09-27T14:02:20.229670,8,,person,0.8946559429168701,138,76,640,479,0,0,False,,0,
2025-09-27T14:02:29.029787,9,,person,0.8120854496955872,161,208,639,479,0,0,False,,0,
2025-09-27T14:02:29.268235,10,,person,0.9528719186782837,145,198,502,479,0,0,False,,0,
2025-09-27T14:02:29.510348,11,,person,0.9522431492805481,144,198,502,479,0,0,False,,0,
2025-09-27T14:02:29.760212,12,,person,0.951836884021759,145,199,503,479,0,0,False,,0,
2025-09-27T14:02:30.005039,13,,person,0.9568454027175903,147,200,506,479,0,0,False,,0,
2025-09-27T14:02:30.422966,14,,person,0.9561910033226013,147,202,507,479,0,0,False,,0,
2025-09-27T14:02:30.978074,15,,person,0.952003538608551,148,202,506,479,0,0,False,,0,
2025-09-27T14:02:31.695403,16,,person,0.9562609791755676,146,202,503,479,0,0,False,,0,
2025-09-27T14:02:32.160047,17,,person,0.9574021100997925,148,202,505,479,0,0,False,,0,
2025-09-27T14:02:32.692359,18,,person,0.9548522233963013,148,201,504,479,0,0,False,,0,
2025-09-27T14:02:33.341093,19,,person,0.9552087783813477,148,201,504,479,0,0,False,,0,
2025-09-27T14:02:33.852350,20,,person,0.9558762907981873,147,203,504,479,0,0,False,,0,
2025-09-27T14:02:34.808781,21,,person,0.9531872272491455,147,202,503,479,0,0,False,,0,
2025-09-27T14:02:35.595528,22,,person,0.9511387348175049,148,198,509,479,0,0,False,,0,
2025-09-27T14:02:36.165567,23,,person,0.9468832015991211,148,196,508,479,0,0,False,,0,
2025-09-27T14:02:36.771471,24,,person,0.9403356313705444,145,195,518,479,0,0,False,,0,
2025-09-27T14:02:37.422903,25,,person,0.950789213180542,148,195,513,479,0,0,False,,0,
2025-09-27T14:02:37.976434,26,,person,0.9522532224655151,149,197,512,479,0,0,False,,0,
2025-09-27T14:02:38.494454,27,,person,0.9525337815284729,150,197,512,479,0,0,False,,0,
2025-09-27T14:02:39.125013,28,,person,0.949211597442627,150,197,513,479,0,0,False,,0,
2025-09-27T14:02:39.757779,29,,person,0.9501869678497314,150,198,513,479,0,0,False,,0,
2025-09-27T14:02:40.360988,30,,person,0.951637864112854,150,197,512,479,0,0,False,,0,
2025-09-27T14:02:40.969309,31,,person,0.9514877200126648,150,198,513,479,0,0,False,,0,
2025-09-27T14:02:41.692942,32,,person,0.9526272416114807,151,198,514,479,0,0,False,,0,
2025-09-27T14:02:42.511267,33,,person,0.951684832572937,151,198,513,479,0,0,False,,0,
2025-09-27T14:02:43.443678,34,,person,0.9519609808921814,151,198,515,479,0,0,False,,0,
2025-09-27T14:02:44.127111,35,,person,0.951447069644928,150,198,512,479,0,0,False,,0,
2025-09-27T14:02:44.730210,36,,person,0.9494240880012512,151,198,499,479,0,0,False,,0,
2025-09-27T14:02:45.427016,37,,person,0.9504594802856445,156,197,499,479,0,0,False,,0,
2025-09-27T14:02:45.906028,38,,person,0.9506475329399109,157,196,501,479,0,0,False,,0,
2025-09-27T14:02:46.405976,39,,person,0.9563648700714111,155,197,500,479,0,0,False,,0,
2025-09-27T14:02:47.212384,40,,person,0.9531205296516418,150,197,510,479,0,0,False,,0,
2025-09-27T14:02:47.797867,41,,person,0.9525890946388245,154,200,508,479,0,0,False,,0,
2025-09-27T14:02:48.432197,42,,person,0.9452351927757263,149,199,520,479,0,0,False,,0,
2025-09-27T14:02:49.099941,43,,person,0.9535750150680542,152,199,520,479,0,0,False,,0,
2025-09-27T14:02:49.741818,44,,person,0.9558284878730774,148,203,517,479,0,0,False,,0,
2025-09-27T14:02:50.188149,45,,person,0.9514670968055725,146,202,515,479,0,0,False,,0,
2025-09-27T14:02:50.812194,46,,person,0.9529215097427368,146,202,515,479,0,0,False,,0,
2025-09-27T14:02:51.443932,47,,person,0.95563805103302,147,203,515,479,0,0,False,,0,
2025-09-27T14:02:51.917853,48,,person,0.954670250415802,147,203,515,479,0,0,False,,0,
2025-09-27T14:02:52.447905,49,,person,0.9541471600532532,148,203,514,479,0,0,False,,0,
2025-09-27T14:02:53.029061,50,,person,0.9575368762016296,148,203,514,479,0,0,False,,0,
2025-09-27T14:02:53.665785,51,,person,0.956088125705719,148,203,515,479,0,0,False,,0,
2025-09-27T14:02:54.049899,52,,person,0.9534692168235779,149,203,515,479,0,0,False,,0,
2025-09-27T14:02:54.531030,53,,person,0.954175591468811,149,202,516,479,0,0,False,,0,
2025-09-27T14:02:55.002843,54,,person,0.9558410048484802,149,202,514,479,0,0,False,,0,
2025-09-27T14:02:55.447528,55,,person,0.953384518623352,149,201,513,479,0,0,False,,0,
2025-09-27T14:02:55.870433,56,,person,0.9513812065124512,149,201,515,479,0,0,False,,0,
2025-09-27T14:02:56.282161,57,,person,0.953981876373291,149,201,513,479,0,0,False,,0,
2025-09-27T14:02:56.704537,58,,person,0.9511755108833313,149,201,513,479,0,0,False,,0,
2025-09-27T14:02:57.140211,59,,person,0.9521719217300415,149,201,514,479,0,0,False,,0,
2025-09-27T14:02:57.731242,60,,person,0.9520231485366821,149,201,513,479,0,0,False,,0,
2025-09-27T14:02:58.158417,61,,person,0.9523003697395325,149,201,512,479,0,0,False,,0,
2025-09-27T14:02:58.657363,62,,person,0.95225590467453,149,201,511,479,0,0,False,,0,
2025-09-27T14:02:59.231783,63,,person,0.9518418312072754,150,201,510,479,0,0,False,,0,
2025-09-27T14:02:59.824983,64,,person,0.9520447254180908,149,202,509,479,0,0,False,,0,
2025-09-27T14:03:00.419914,65,,person,0.95047926902771,149,203,510,479,0,0,False,,0,
2025-09-27T14:03:00.964600,66,,person,0.9508766531944275,150,201,510,479,0,0,False,,0,
2025-09-27T14:03:01.683831,67,,person,0.9515206813812256,151,200,511,479,0,0,False,,0,
2025-09-27T14:03:02.399268,68,,person,0.9490725994110107,149,198,512,479,0,0,False,,0,
